Beam,eps_true,Method,eps_hat,Error_m
"Elliptical Gaussian",[0.1079 0],EKF-1step,[0.1079 0],2.93376434257198e-14
"Elliptical Gaussian",[0.1079 0],GaussNewton,[0.1079 0],1.38777878078145e-17
"Elliptical Gaussian",[0.1079 0],Lookup,[0.1101 0],0.00215836058035576
"Elliptical Gaussian",[0.07631 0.07631],Direct,[0.07631 0.07631],1.38777878078145e-17
"Elliptical Gaussian",[0.07631 0.07631],EKF-1step,[0.07631 0.07631],2.75229107760476e-14
"Elliptical Gaussian",[0.07631 0.07631],GaussNewton,[0.07631 0.07631],3.10316769155909e-17
"Elliptical Gaussian",[0.07631 0.07631],Lookup,[0.0777 0.0777],0.0019677519705129
"Elliptical Gaussian",[6.608e-18 0.1079],Direct,[0 0.1079],4.21545203334295e-17
"Elliptical Gaussian",[6.608e-18 0.1079],EKF-1step,[0 0.1079],2.55906415707857e-14
"Elliptical Gaussian",[6.608e-18 0.1079],GaussNewton,[0 0.1079],4.21545203334295e-17
"Elliptical Gaussian",[6.608e-18 0.1079],Lookup,[0 0.1088],0.000863344232142293
"Elliptical Gaussian",[-0.07631 0.07631],Direct,[-0.07631 0.07631],1.38777878078145e-17
"Elliptical Gaussian",[-0.07631 0.07631],EKF-1step,[-0.07631 0.07631],2.75138019550507e-14
"Elliptical Gaussian",[-0.07631 0.07631],GaussNewton,[-0.07631 0.07631],1.96261557335472e-17
"Elliptical Gaussian",[-0.07631 0.07631],Lookup,[-0.0777 0.0777],0.0019677519705129
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0 0],Direct,[0 0],0
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0 0],EKF-1step,[0 0],0
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0 0],GaussNewton,[0 0],0
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0 0],Lookup,[0 0],0
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.02158 0],Direct,[0.02158 4.957e-18],8.52744756634431e-18
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.02158 0],EKF-1step,[0.02158 5.057e-15],5.46197324027232e-15
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.02158 0],GaussNewton,[0.02158 4.991e-18],4.9911723766256e-18
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.02158 0],Lookup,[0.02155 0],3.32311294910966e-05
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.01526 0.01526],Direct,[0.01526 0.01526],2.94902990916057e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.01526 0.01526],EKF-1step,[0.01526 0.01526],5.07717763334493e-15
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.01526 0.01526],GaussNewton,[0.01526 0.01526],2.25514051876985e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.01526 0.01526],Lookup,[0.01616 0.01696],0.00191849464433932
"Rotated Elliptical Gaussian (\phi=30^\circ)",[1.322e-18 0.02158],Direct,[1.662e-17 0.02158],1.84992915619881e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[1.322e-18 0.02158],EKF-1step,[3.308e-15 0.02158],3.32186523349578e-15
"Rotated Elliptical Gaussian (\phi=30^\circ)",[1.322e-18 0.02158],GaussNewton,[-5.213e-18 0.02158],1.22894310590888e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[1.322e-18 0.02158],Lookup,[0 0.02119],0.000388925653938135
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.01526 0.01526],Direct,[-0.01526 0.01526],3.87895961444886e-18
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.01526 0.01526],EKF-1step,[-0.01526 0.01526],3.90018307711419e-15
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.01526 0.01526],GaussNewton,[-0.01526 0.01526],2.4532694666934e-18
"Rotated Elliptical Gaussian (\phi=30^\circ)",[-0.01526 0.01526],Lookup,[-0.01616 0.01272],0.00269983805847144
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.06475 0],Direct,[0.06475 0],1.38777878078145e-17
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.06475 0],EKF-1step,[0.06475 1.516e-14],1.63692718217273e-14
"Rotated Elliptical Gaussian (\phi=30^\circ)",[0.06475 0],GaussNewton,[0.06475 -1.385e-17],3.10186257918026e-17
